site_id,site_name,region,address
SITE1,"Sparks, Huang and Cooke",North,"143 Lisa Trail, Port Eric, ID 82839"
SITE2,Edwards Group,East,"2640 Donald Forges Suite 943, Hollymouth, MA 59894"
SITE3,Short Group,East,"USNV Brown, FPO AA 99721"
SITE4,Bright-Briggs,South,"32394 Kirk Gateway, Melissaville, NM 38677"
SITE5,White-Shaw,East,"PSC 6550, Box 2399, APO AP 31306"
SITE6,Cortez and Sons,North,"PSC 8662, Box 2441, APO AP 41653"
SITE7,Roman and Sons,South,"866 Johnson Land, Stevenfurt, TX 52184"
SITE8,Moore-Lindsey,South,"64224 Alexandra Wells, Nathanville, TX 10699"
SITE9,Pham and Sons,North,"9631 Mary Curve, New Michaelshire, WV 40940"
SITE10,Murray-Carney,West,"065 Jennings Valley Apt. 920, East Isaacburgh, DE 11370"
SITE11,Lowe PLC,South,"USS Rodriguez, FPO AE 86406"
SITE12,Buckley Group,West,"245 Scott Rue, North David, AL 35433"
SITE13,"Smith, Walker and Chavez",South,"658 Watson Fort, Perkinsmouth, DC 21471"
SITE14,Wright-Frederick,North,"4898 Daniel Coves, Sylvialand, IL 52767"
SITE15,"Dyer, Walker and Chapman",North,"968 Michael Circles Apt. 242, New Matthewborough, SD 01333"
SITE16,Morris-Rhodes,East,"1243 Murphy Spurs, Rodriguezshire, IA 65297"
SITE17,"Kelley, Ball and Martin",East,"3920 Lopez Road Suite 812, South John, ND 57874"
SITE18,Bennett LLC,South,"862 Juarez Station, Port Brittanyfurt, MO 02487"
SITE19,White-Herrera,North,"54033 Escobar Station, Port Michaelstad, IA 99785"
SITE20,"Preston, Johnson and Clark",South,"53957 Anthony Mountains Suite 331, Chelseaborough, AZ 29782"
SITE21,French-Mccormick,South,"65348 Marc Course Suite 110, Ericashire, SC 77706"
SITE22,Martinez-Butler,East,"919 Lucas Springs Suite 512, East Ronald, MN 51167"
SITE23,"Koch, Miller and Le",East,"11377 Harris Causeway, Port Juan, MO 21396"
SITE24,"Snyder, Case and Morton",West,"19032 Villarreal Forges Apt. 882, Lake Bryan, TN 08961"
SITE25,Larsen Inc,North,"1479 Stephanie Plaza, Jasonside, AK 60709"
SITE26,Stout Group,North,"525 Morgan Ranch Suite 835, New Shawnstad, HI 77459"
SITE27,"Franklin, Richards and Graham",South,"862 Howell Mountain Suite 857, Millerfurt, WI 77892"
SITE28,Ryan Inc,East,"580 Sarah Island Apt. 631, Haydenland, NJ 15669"
SITE29,Callahan and Sons,East,"8794 Rich Well, Huertahaven, SD 56205"
SITE30,Gomez and Sons,West,"34355 Sandra Passage, Vincentborough, DE 62330"
